"Timestamp","1. What is your musical taste? Select any genre  that you enjoy. Pick as many as you like.","2. How do you listen to music?","3. What is your film taste? Select any movie that you enjoyed watching. Pick as many as you like.","4. What is your TV show taste? Select any TV series that you enjoyed watching. Pick as many as you like.","5. What are your TV viewing habits?","6. Which of the following social media apps do you regularly use?  Pick as many as you like.","7. How many hours a week do you spend on your smart phone?","8. What is your preferred payment method in shops for amounts less than £20?","9. How old are you?"
"2019/06/19 5:34:02 PM GMT+1","Rock;Country;Pop;Indie;Electronic;Hip-hop/Rap","I mostly use Spotify or another music streaming service","Harry Potter series;Love Actually;Toy Story series;Back to the Future","Friends;Only Fools and Horses;Doctor Who;Gavin and Stacey;Game of Thrones;The Thick of It;The Inbetweeners","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Facebook;Twitter;WhatsApp;Instagram;LinkedIn","Between 5 and 10 hours","I mostly use Apple Pay or Android Pay or Samsung Pay","25"
"2019/06/19 5:37:30 PM GMT+1","Pop;Indie;Hip-hop/Rap","I mostly use Spotify or another music streaming service","Star Wars series;Harry Potter series;Love Actually;Casablanca;Toy Story series","Friends;Gavin and Stacey","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Facebook;Twitter;WhatsApp;Instagram","Between 20 and 30 hours","I mostly use Apple Pay or Android Pay or Samsung Pay","23"
"2019/06/19 5:40:40 PM GMT+1","Classical;Rock;Pop;Indie","I mostly use Spotify or another music streaming service","Star Wars series","Friends;Game of Thrones","I don't really watch TV programs","Twitter;WhatsApp;Instagram","Between 10 and 20 hours","I mostly use cash","31"
"2019/06/19 5:49:52 PM GMT+1","Electronic;Hip-hop/Rap","I mostly use Spotify or another music streaming service","Star Wars series;Harry Potter series;Love Actually;2001 Space Odyssey","Friends;Only Fools and Horses;Downtown Abbey;Game of Thrones","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Facebook;WhatsApp;Instagram;LinkedIn","Between 10 and 20 hours","I mostly use cards","25"
"2019/06/19 5:54:18 PM GMT+1","Classical;Rock;Electronic;Hip-hop/Rap","I mostly use Spotify or another music streaming service","Star Wars series;Toy Story series;2001 Space Odyssey;Back to the Future;Apocalypse Now","Game of Thrones","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Twitter","Between 10 and 20 hours","I mostly use cards","32"
"2019/06/19 5:55:07 PM GMT+1","Rock;Country;Indie;Electronic;Hip-hop/Rap","I mostly use Spotify or another music streaming service","Toy Story series","Only Fools and Horses;Gavin and Stacey;The Thick of It;The Inbetweeners","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Twitter;WhatsApp;Instagram;LinkedIn","Between 10 and 20 hours","I mostly use Apple Pay or Android Pay or Samsung Pay","25"
"2019/06/20 9:50:45 AM GMT+1","Classical;Rock;Pop","I mostly use Spotify or another music streaming service","Star Wars series;Harry Potter series;Love Actually;Back to the Future","Friends;Doctor Who;Downtown Abbey","I mostly watch recorded programs on my TV","Facebook;Twitter;WhatsApp;LinkedIn","Between 5 and 10 hours","I mostly use cash","45"
"2019/06/20 10:27:09 AM GMT+1","Classical;Rock;Electronic","I mostly use Spotify or another music streaming service","Harry Potter series;Love Actually;Casablanca;Toy Story series","Doctor Who;Gavin and Stacey;Game of Thrones;The Thick of It;The Inbetweeners","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","WhatsApp;Instagram","Between 10 and 20 hours","I mostly use Apple Pay or Android Pay or Samsung Pay","25"
"2019/06/20 10:30:23 AM GMT+1","Rock;Indie;Hip-hop/Rap","I mostly use Spotify or another music streaming service","Star Wars series;Toy Story series","Friends;Only Fools and Horses;Game of Thrones;The Inbetweeners","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Facebook;WhatsApp;Instagram","Between 10 and 20 hours","I mostly use cards","25"
"2019/06/20 10:36:11 AM GMT+1","Rock;Indie;Electronic;Hip-hop/Rap","I mostly use Spotify or another music streaming service","Star Wars series;2001 Space Odyssey;Back to the Future;Apocalypse Now","Gavin and Stacey;Game of Thrones;The Thick of It;The Inbetweeners","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Facebook;Twitter;WhatsApp;Instagram","Between 10 and 20 hours","I mostly use cards","24"
"2019/06/20 10:38:50 AM GMT+1","Rock;Pop;Indie;Electronic;Hip-hop/Rap","I mostly use Spotify or another music streaming service","Harry Potter series;Back to the Future","Friends;Only Fools and Horses;Doctor Who;Gavin and Stacey;Game of Thrones;The Inbetweeners","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Facebook;WhatsApp;Instagram;LinkedIn","Between 10 and 20 hours","I mostly use cards","25"
"2019/06/20 10:44:11 AM GMT+1","Rock;Pop;Indie;Hip-hop/Rap","I mostly use Spotify or another music streaming service","Toy Story series","Friends;Doctor Who;Gavin and Stacey;Game of Thrones;The Thick of It;The Inbetweeners","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Facebook;WhatsApp;Instagram;Snapchat;LinkedIn","Between 20 and 30 hours","I mostly use cards","25"
"2019/06/20 10:50:00 AM GMT+1","Rock;Pop;Indie","I mostly use Spotify or another music streaming service","Harry Potter series;Love Actually","Friends;Gavin and Stacey;Game of Thrones;The Inbetweeners","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","WhatsApp;Instagram;LinkedIn","Between 10 and 20 hours","I mostly use cards","27"
"2019/06/20 10:57:25 AM GMT+1","Rock;Indie;Hip-hop/Rap","I mostly use Spotify or another music streaming service","Star Wars series;Harry Potter series;Love Actually;2001 Space Odyssey;Back to the Future;Apocalypse Now","Friends;Doctor Who;Game of Thrones;The Thick of It;The Inbetweeners","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Facebook;Twitter;WhatsApp;Instagram;Snapchat;LinkedIn","Between 20 and 30 hours","I mostly use cards","26"
"2019/06/20 11:12:44 AM GMT+1","Pop","I mostly listen to the radio","Star Wars series;Harry Potter series;Love Actually;Toy Story series","Downtown Abbey;Game of Thrones","I mostly watch recorded programs on my TV","Facebook;WhatsApp","Less than 5 hours","I mostly use Apple Pay or Android Pay or Samsung Pay","25"
"2019/06/20 11:26:40 AM GMT+1","Rock;Indie;Electronic;Hip-hop/Rap","I mostly use Spotify or another music streaming service","Star Wars series;Harry Potter series;Toy Story series","Friends;Only Fools and Horses;Game of Thrones;The Inbetweeners","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","WhatsApp;Instagram;Snapchat;LinkedIn","Between 10 and 20 hours","I mostly use cards","25"
"2019/06/20 11:33:24 AM GMT+1","Country;Pop;Indie;Electronic;Hip-hop/Rap","I mostly use YouTube or other websites","Harry Potter series;Love Actually;Toy Story series;2001 Space Odyssey","Friends;Only Fools and Horses;Doctor Who;Downtown Abbey;The Thick of It;The Inbetweeners","I don't really watch TV programs","Facebook;WhatsApp;Instagram;LinkedIn","Between 20 and 30 hours","I mostly use cards","25"
